NM_REGIAO,CD_UF,NM_UF,SIGLA,CD_MUN,NM_MUN,AREA_TOT,AREA_INT,PERC_INT,LAT_SEDE,LNG_SEDE,SEDE_AL,,,,
Norte,13,Amazonas,AM,1302900,Maués,"39.991,07","39.991,07",100,"-3,40","-57,72",sim,,,,
Norte,13,Amazonas,AM,1303007,Nhamundá,"14.107,04","14.107,04",100,"-2,19","-56,78",sim,,,,
Norte,13,Amazonas,AM,1303106,Nova Olinda do Norte,"5.578,13","5.578,13",100,"-3,88","-59,09",sim,,,,
Norte,13,Amazonas,AM,1303205,Novo Airão,"37.776,77","37.776,77",100,"-2,62","-60,94",sim,,,,
Norte,13,Amazonas,AM,1303304,Novo Aripuanã,"41.179,66","41.179,66",100,"-5,12","-60,38",sim,,,,
Norte,13,Amazonas,AM,1303403,Parintins,"5.956,05","5.956,05",100,"-2,62","-56,73",sim,,,,
Norte,13,Amazonas,AM,1303502,Pauini,"41.624,66","41.624,66",100,"-7,72","-67,00",sim,,,,
Norte,13,Amazonas,AM,1303536,Presidente Figueiredo,"25.459,10","25.459,10",100,"-2,05","-60,03",sim,,,,
Norte,13,Amazonas,AM,1303569,Rio Preto da Eva,"5.815,62","5.815,62",100,"-2,70","-59,70",sim,,,,
Norte,13,Amazonas,AM,1303601,Santa Isabel do Rio Negro,"62.800,08","62.800,08",100,"-0,42","-65,02",sim,,,,
Norte,13,Amazonas,AM,1303700,Santo Antônio do Içá,"12.366,14","12.366,14",100,"-3,10","-67,95",sim,,,,
Norte,13,Amazonas,AM,1303809,São Gabriel da Cachoeira,"109.181,25","109.181,24",100,"-0,14","-67,09",sim,,,,
Norte,13,Amazonas,AM,1303908,São Paulo de Olivença,"19.658,50","19.658,50",100,"-3,46","-68,95",sim,,,,
Norte,13,Amazonas,AM,1303957,São Sebastião do Uatumã,"10.647,46","10.647,46",100,"-2,57","-57,87",sim,,,,
Norte,13,Amazonas,AM,1304005,Silves,"3.723,38","3.723,38",100,"-2,84","-58,21",sim,,,,
Norte,13,Amazonas,AM,1304062,Tabatinga,"3.266,06","3.266,06",100,"-4,23","-69,94",sim,,,,
Norte,13,Amazonas,AM,1304104,Tapauá,"84.946,04","84.946,04",100,"-5,62","-63,19",sim,,,,
